"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","22561","TC_AU_004 — Password mismatch blocks registration","chromium","2026-05-28","skipped","2026-05-28","Module 2 — Authentication & User Account","authentication.spec.js","",""
"","36283","TC_CF_016 — Order confirmation displays order reference ID","firefox","2026-05-28","failed","2026-05-28","Module 7 — Checkout Flow","checkout-flow.spec.js","",""
"","22061","TC_AU_004 — Password mismatch blocks registration","firefox","2026-05-28","skipped","2026-05-28","Module 2 — Authentication & User Account","authentication.spec.js","",""
"","31822","TC_CF_016 — Order confirmation displays order reference ID","chromium","2026-05-28","failed","2026-05-28","Module 7 — Checkout Flow","checkout-flow.spec.js","",""
"","30642","TC_CF_010 — Delivery method step shows shipping options","chromium","2026-05-28","failed","2026-05-28","Module 7 — Checkout Flow","checkout-flow.spec.js","",""
"","88120","TC_CM_004 — Updating quantity recalculates line total","firefox","2026-05-28","failed","2026-05-28","Module 6 — Cart Management","cart-management.spec.js","",""
"","19029","TC_SR_012 — Search query appears in heading or breadcrumb","webkit","2026-05-28","passed","2026-05-28","Module 3 — Search Functionality","search.spec.js","",""
"","70184","TC_CF_004 — Order total matches cart subtotal","webkit","2026-05-28","failed","2026-05-28","Module 7 — Checkout Flow","checkout-flow.spec.js","",""
"","22382","TC_HN_002 — Primary navigation tabs redirect correctly","chromium","2026-05-28","passed","2026-05-28","Module 1 — Homepage & Navigation","homepage-navigation.spec.js","",""
"","24119","TC_HN_012 — Search icon opens search bar","chromium","2026-05-28","passed","2026-05-28","Module 1 — Homepage & Navigation","homepage-navigation.spec.js","",""
"","27482","TC_SR_003 — Case-insensitive search returns consistent counts","chromium","2026-05-28","passed","2026-05-28","Module 3 — Search Functionality","search.spec.js","",""
"","22282","TC_AU_007 — Login fails with unregistered email","firefox","2026-05-28","passed","2026-05-28","Module 2 — Authentication & User Account","authentication.spec.js","",""
"","59042","TC_PD_002 — Detail page price matches cart price after adding","webkit","2026-05-28","failed","2026-05-28","Module 5 — Product Details","product-details.spec.js","",""
"","41498","TC_PD_013 — Favourite/wishlist toggle adds item when logged in","chromium","2026-05-28","passed","2026-05-28","Module 5 — Product Details","product-details.spec.js","",""
"","25347","TC_SR_013 — Sorting by price low to high reorders correctly","webkit","2026-05-28","passed","2026-05-28","Module 3 — Search Functionality","search.spec.js","",""
"","12173","TC_PL_001 — Category displays only products in that category","firefox","2026-05-28","passed","2026-05-28","Module 4 — Product Listing & Filters","product-listing.spec.js","",""
"","59087","TC_CM_016 — Proceed to Checkout button is present and enabled","chromium","2026-05-28","passed","2026-05-28","Module 6 — Cart Management","cart-management.spec.js","",""
"","11449","TC_PL_006 — Clearing all filters restores full listing","chromium","2026-05-28","passed","2026-05-28","Module 4 — Product Listing & Filters","product-listing.spec.js","",""
"","74712","TC_CF_003 — Checkout displays cart items with correct quantities and prices","webkit","2026-05-28","failed","2026-05-28","Module 7 — Checkout Flow","checkout-flow.spec.js","",""
"","15253","TC_PL_008 — Sort Price Low to High orders ascending","firefox","2026-05-28","passed","2026-05-28","Module 4 — Product Listing & Filters","product-listing.spec.js","",""
"","11371","TC_PL_002 — Product count matches rendered card count","firefox","2026-05-28","passed","2026-05-28","Module 4 — Product Listing & Filters","product-listing.spec.js","",""
"","11324","TC_PL_014 — Filter panel remains accessible after applying filter","chromium","2026-05-28","passed","2026-05-28","Module 4 — Product Listing & Filters","product-listing.spec.js","",""
"","14891","TC_SR_007 — Result cards show name, image, and price","chromium","2026-05-28","passed","2026-05-28","Module 3 — Search Functionality","search.spec.js","",""
"","37952","TC_HN_012 — Search icon opens search bar","webkit","2026-05-28","passed","2026-05-28","Module 1 — Homepage & Navigation","homepage-navigation.spec.js","",""
"","52579","TC_AU_016 — User can update display name","webkit","2026-05-28","passed","2026-05-28","Module 2 — Authentication & User Account","authentication.spec.js","",""
"","83205","TC_CM_003 — Cart displays correct name, unit price, quantity, line total","chromium","2026-05-28","failed","2026-05-28","Module 6 — Cart Management","cart-management.spec.js","",""
"","31686","TC_PD_010 — Breadcrumb link navigates back to category","firefox","2026-05-28","passed","2026-05-28","Module 5 — Product Details","product-details.spec.js","",""
"","16920","TC_PL_004 — Filter count badge updates","webkit","2026-05-28","passed","2026-05-28","Module 4 — Product Listing & Filters","product-listing.spec.js","",""
"","62380","TC_CM_006 — Removing product decrements badge count","chromium","2026-05-28","passed","2026-05-28","Module 6 — Cart Management","cart-management.spec.js","",""
"","16459","TC_PL_011 — Pagination loads correct products per page","webkit","2026-05-28","passed","2026-05-28","Module 4 — Product Listing & Filters","product-listing.spec.js","",""
"","54445","TC_AU_001 — Registration form submits with timestamp-based unique email","firefox","2026-05-28","passed","2026-05-28","Module 2 — Authentication & User Account","authentication.spec.js","",""
"","30970","TC_PD_008 — Related products section displays linked products","webkit","2026-05-28","passed","2026-05-28","Module 5 — Product Details","product-details.spec.js","",""
"","68634","TC_CM_016 — Proceed to Checkout button is present and enabled","webkit","2026-05-28","failed","2026-05-28","Module 6 — Cart Management","cart-management.spec.js","",""
"","29104","TC_PD_009 — Store availability section shows stock info","firefox","2026-05-28","passed","2026-05-28","Module 5 — Product Details","product-details.spec.js","",""
"","13568","TC_SR_010 — Adding product from search updates cart count","chromium","2026-05-28","passed","2026-05-28","Module 3 — Search Functionality","search.spec.js","",""
"","30168","TC_PD_006 — Image gallery navigation works","chromium","2026-05-28","passed","2026-05-28","Module 5 — Product Details","product-details.spec.js","",""
"","14260","TC_SR_009 — Clicking result navigates to product detail","chromium","2026-05-28","passed","2026-05-28","Module 3 — Search Functionality","search.spec.js","",""
"","7020","TC_HN_009 — Category tiles navigate to correct listings","firefox","2026-05-28","passed","2026-05-28","Module 1 — Homepage & Navigation","homepage-navigation.spec.js","",""
"","51363","TC_CM_009 — Cart persists after navigating away and returning","firefox","2026-05-28","passed","2026-05-28","Module 6 — Cart Management","cart-management.spec.js","",""
"","49124","TC_CM_001 — Adding one product increments cart badge by 1","chromium","2026-05-28","passed","2026-05-28","Module 6 — Cart Management","cart-management.spec.js","",""
"","20109","TC_PL_003 — Colour filter updates listing dynamically","webkit","2026-05-28","passed","2026-05-28","Module 4 — Product Listing & Filters","product-listing.spec.js","",""
"","23505","TC_SR_006 — Special characters handled gracefully","webkit","2026-05-28","passed","2026-05-28","Module 3 — Search Functionality","search.spec.js","",""
"","19266","TC_PL_007 — Multiple filters narrow results correctly","webkit","2026-05-28","passed","2026-05-28","Module 4 — Product Listing & Filters","product-listing.spec.js","",""
"","13880","TC_SR_001 — Valid keyword returns relevant results","firefox","2026-05-28","passed","2026-05-28","Module 3 — Search Functionality","search.spec.js","",""
"","46038","TC_SR_008 — Search results persist after refresh","firefox","2026-05-28","passed","2026-05-28","Module 3 — Search Functionality","search.spec.js","",""
"","10792","TC_PL_001 — Category displays only products in that category","chromium","2026-05-28","passed","2026-05-28","Module 4 — Product Listing & Filters","product-listing.spec.js","",""
"","11792","TC_PL_011 — Pagination loads correct products per page","chromium","2026-05-28","passed","2026-05-28","Module 4 — Product Listing & Filters","product-listing.spec.js","",""
"","25571","TC_CF_015 — Checkout does not attempt real payment","chromium","2026-05-28","failed","2026-05-28","Module 7 — Checkout Flow","checkout-flow.spec.js","",""
"","13569","TC_SR_002 — Result count matches rendered cards","chromium","2026-05-28","passed","2026-05-28","Module 3 — Search Functionality","search.spec.js","",""
"","34856","TC_CF_005 — Saved address auto-populates delivery form","firefox","2026-05-28","failed","2026-05-28","Module 7 — Checkout Flow","checkout-flow.spec.js","",""
